title ,text,subject,date,source
65 PERCENT OF U.S. ADULTS SAY DONALD TRUMP WAS TOO SLOW TO RESPOND TO COVID-19 OUTBREAK: POLL,"As the novel coronavirus continues to produce some of its most unrelenting damage across the country, Americans indicate that they largely believe President Donald Trump can and should have acted sooner to mitigate the crisis.
According to a survey released Thursday by the Pew Research Center, 65 percent of U.S. adults believe that the president was too slow to take major steps to address the spread of COVID-19, the disease caused by the virus. Americans under the age of 50 were 20 percentage points more likely to say so.
Seventy-three percent of U.S. adults say the worst is yet to come.
The survey was conducted last week, when between 1,500 and 2,000 Americans were dying each day from COVID-19.
Trump has defended his administration's response during the critical month of February, when many reports indicated that the government missed a window to take aggressive, pre-emptive action.
""How do you close down the greatest economy in the history of the world when on January 17 you have no cases and no death?"" the president said at a press conference Monday. ""We're supposed to close down the country?""
Trump has further suggested that any sweeping actions he might have taken earlier on would have been opposed by the public at the time. As an example, he said that ""every Democrat thought I made a mistake when I"" implemented travel restrictions on visitors from China at the end of January.
But critics say inaction extends well beyond February, citing his administration's more recent reluctance to use the full measure of the Defense Production Act to compel production of medical equipment in short supply. While the Trump administration has invoked the law in limited fashion, officials have also suggested they believe it is a more powerful tool when used as leverage. Trump has previously derided the law, saying at a press conference in late March that ""we're a country not based on nationalizing our business"" and making a comparison to Venezuela.
Overall, a majority of the public do think it is acceptable for elected officials to criticize the Trump administration's response. Americans across party lines, however, differ in the degree to which they approve. While 85 percent of Democrats think it should be acceptable for elected officials to criticize how the Trump administration is handling COVID-19, Republicans are almost evenly divided, with a slight majority shunning the idea.
Fifty-seven percent of U.S. adults now believe Trump is doing a poor or fair job of providing accurate information about the outbreak. A little more than half of Americans believe that he is making the situation appear better than it really is. Similar percentages believe the same about his meeting the needs of hospitals and working with state governors. On all of these questions, Democrats and Republicans remain deeply polarized.
The Pew survey was conducted from April 7 to April 12 and has an overall margin of error of 2.1 percentage points.",politicsNews,4/18/2020,Newsweek
"NEW YORK GOVERNOR ANDREW CUOMO ANNOUNCES 540 NEW COVID-19 DEATHS, SAYS FEDS SENT 1.5M CLOTH MASKS TO STATE","New York Governor Andrew Cuomo said the state had 540 deaths Friday, as New York continues moves past plateau at the apex of the coronavirus pandemic. It raises the total number of deaths in the state at 13,362.
""The worst news is still tragic news. Number of deaths – 540. It's not as high as it was. Still 540 people died yesterday, 540 people, 540 families,"" Cuomo said at his daily coronavirus press conference Saturday.
As Cuomo shifted to the topic of reopening the New York economy, he said that testing is the key to monitoring and controlling the rate of infection.
The infection rate in the state is one person infecting 0.9 people, which is a stable rate of infection. That is down from one person infecting to 1.4 people at the start of the pandemic. Cuomo said the reason for the drop was the implementation of PAUSE, or Policies Assure Uniform Safety for Everyone, which shut down businesses deemed non-essential among other measures aimed at lowering the spread of the novel coronavirus, as well as social distancing and mask use in public.
""The tension on reopening is how fast can you reopen and what can you reopen without raising that infection rate so you go right back to where we were overwhelming the hospitals,"" Cuomo said.
The governor stated that testing would make it easier to keep the rate of infection down by finding those infected and tracing back through the people who have tested positive to find who they came into contact with.
Cuomo said the main problem he is hearing from New York labs testing for COVID-19 is that they do not have enough reagents, the chemicals applied to swab samples taken from people to determine whether or not they have the novel coronavirus. The reagents, which are different among the different private manufacturers who produce the tests, are in short supply because they either can't get them from overseas or because the federal government is determine where the reagents are sent.
""We need two things from the federal government. We need help on that supply chain, especially when it becomes international, and we need coordination and basic partnership,"" Cuomo said, adding that also needs federal funding in order to reopen. The National Governors Association has asked for $500 billion to aid states.

The federal government sent New York 1.5 million cloth masks for public distribution, as Cuomo's executive order that all New Yorkers wear masks in public went into effect Friday night.
The state saw a net change of minus 349 hospitalizations for Friday. However, there were still 1,915 new hospitalizations for the day.
""If you look at the past three days [of hospitalizations] you could argue that we are past the plateau and we're starting to descend, which would be very good news. Again, it's only three days, but that's what the numbers would start to suggest,"" Cuomo said.
""We still have about 2,000 people yesterday who were new admissions to a hospital...That is still an overwhelming number every day.""
""If it wasn't for the relative context that we've been in this would be devastating news, 2,000 people coming into the hospital system...This is where we were in late-March when it started to go up. So, we're not at the plateau anymore, but we're still not in a good position,"" the governor said.
Cuomo told New Yorkers in March that the state would need 140,000 beds in order to deal with this pandemic, but the most hospitalizations New York has seen was 18,825 on April 12. The current number of hospitalizations is 16,967, according to Cuomo.
The United States Navy Ship Comfort, which was sent to New York on President Donald Trump's authorization after Cuomo asked for more hospital beds, remains largely empty. There are currently 71 COVID-19 patients on the ship, according to a report by CNBC. The ship has a capacity of 500 beds for patients infected with the disease.
Mayor Bill de Blasio released a video on Twitter Saturday thanking residents for practicing social distancing and to report when they see fellow New Yorkers disobeying state guidelines: ""How do you report places that aren't enforcing social distancing? It's simple: just snap a photo and text it to 311-692.""
""Sending that photo in is going to help make sure that people are kept apart and that's going to stop the disease from spreading and that's going to save live,"" the mayor said.
Governor Phil Murphy of New Jersey, which has the second most cases in the country, announced Saturday that the state has 81,420 confirmed cases of COVID-19 and 4,070 deaths.
Murphy urged residents to continue to follow state stay-at-home orders so that the numbers do not rise, as health officials in the state said they have flattened the curve.
As of Saturday afternoon, the number of confirmed coronavirus cases in the United States is over 711,000, and more than 37,000 deaths, according to Johns Hopkins University's tracker.",politicsNews,4/18/2020,Newsweek
HOUSE DEMOCRATS' CAMPAIGN ARM RAISED A RECORD $43 MILLION IN THE FIRST QUARTER,"The fundraising arm that works to get House Democrats elected raked in $43.5 million in the first quarter of this year—the group's highest-ever single quarter, the committee's chairwoman told Newsweek on Monday.
With more than $80 million cash on hand—$28 million more than this point during the 2018 election cycle—Democrats have positioned themselves exceptionally well for this November to defend the dozens of House seats they flipped two years ago and to retain control of the chamber.
""Freshmen Democrats will have the resources to get the jobs done,"" Rep. Cheri Bustos (D-Ill.), chairwoman of the Democratic Congressional Campaign Committee (DCCC), told Newsweek in an interview. ""They're running against people who have a very poor showing right now.""
Ahead of their filing deadline with the Federal Election Commission (FEC) by end of day Monday, Bustos said this March's $14.3 million intake was also record-breaking compared to all past ones, bringing the total raised during this election cycle to $168 million. At this time in 2018, the DCCC had raised $139 million—$29 million less.
The committee fundraising haul is on top of the party's most vulnerable House members, many of whom are first-term lawmakers who represent districts won by President Donald Trump, dominating their Republican challengers in fundraising the first quarter.
On average, the nearly four dozen most at-risk House Democrats brought in three times the amount of money and have more than five times the amount of cash in the bank than their Republican rivals. The average swing-district Democrat brought in $685,000 and has more than $2.3 million in the bank. In comparison, each GOP campaign brought in about $212,000 per candidate and has an average of less than $434,000 on hand.
""I look at this through a different lens, in that all of the work we did up through March and going into quarter two we will need to be successful in November in a very, very new campaign normal,"" Bustos said.
The first-quarter DCCC numbers are likely to mark another month—and quarter—in which the group outraises its GOP counterpart, the National Republican Congressional Committee (NRCC). As of Monday, the NRCC had yet to submit its numbers to the FEC and did not respond to Newsweek's request for comment.
Before March, the DCCC outraised the NRCC each quarter during the 2020 election cycle, along with 13 out of 14 months. In 2019, the DCCC raised $40 million more than the NRCC. And at the end of February, the DCCC had nearly $27.5 million more cash on hand than the NRCC.
In an effort to relay a sense of urgency to GOP candidates, the chairman of the NRCC, Rep. Tom Emmer (R-Minn.), has warned Republicans about the fundraising shortfalls.
""Our members need to get their act together and raise more money. The individual campaigns need to raise more money,"" Emmer told the conservative Ripon Society in January. ""They cannot expect somebody else is gonna do it for them. That's the one issue I think we're gonna have over the next quarter, is getting these guys moving.""
Democrats' strong fundraising numbers also comes as the coronavirus pandemic has forced campaigns to cease normal operations and officials to postpone primary elections. The health crisis has the potential to transform the way America conducts its elections, giving incumbents a leg-up on the competition as donations are expected to dwindle amid congressional campaigns making less asks for contributions.
Despite this, Bustos said online fundraising remained ""excellent"" through quarter two and surpassed the DCCC's projections, including the latter half of March when social distancing guidelines forced much of the U.S. economy to suddenly shudder. Bustos chalked-up part of Democrats' success due to how members have structured their campaigns ""in a way to help people.""
She argued that constituents have rewarded Democrats for using their campaigns to perform wellness checks on at-risk community members and to pass along advice from medical professionals during tele-townhalls.
""I think what people see House Democrats doing, including candidates, is we are removing the politics from politicking during this worldwide pandemic,"" Bustos said.
Examples of strong individual first quarters include Democrats Katie Porter and Josh Harder of California, who boast more than 30 times the amount of campaign cash as their challengers. In Michigan and Virginia, Reps. Elissa Slotkin and Abigail Spanberger have more than $3 million in the bank compared to their opponents' less than $500,000, respectively. Rep. Josh Gottheimer of New Jersey has nearly $8 million compared to his GOP rival's roughly $560,000.
The DCCC will use much of its money to invest in building new software to more effectively and efficiently reach grassroots voters as campaigns face the ongoing reality of social distancing, according to Bustos. The committee will also put resources toward voting by mail, a measure of casting ballots that Democrats in Congress want the federal government to inject billions of dollars into ahead of the Fall elections.
""It's almost like starting from scratch because we have to do things so much differently than we have before,"" she said.",politicsNews,4/20/2020,Newsweek
"MAJORITY OF DEMOCRAT VOTERS UNDER 30 DON'T THINK PARTY WILL UNITE BEHIND JOE BIDEN, POLL SHOWS","The majority of young Democratic voters under the age of 30 are unconvinced the party will unite to support presumptive Democratic presidential nominee Joe Biden, a new Pew Research Center poll shows.
The poll, published last week, surveyed registered Democrats during the second week of April and found 63 percent of respondents said they expected the party to support Biden in the general election. However, 59 percent of young voters between the ages of 18 and 29 were less certain Biden could bring the party together after a contentious primary election season. Biden has so far earned endorsements from most of his primary competitors, the latest of which came last week as Vermont Senator Bernie Sanders and Massachusetts Senator Elizabeth called on their supporters to rally behind Biden.
""I am asking all Americans—I'm asking every Democrat, I'm asking every Independent, I'm asking a lot of Republicans—to come together in this campaign to support [Biden's] candidacy, which I endorse,"" Sanders told Biden. Sanders, who was the final Democrat to suspend his campaign, attracted significant support from younger voters with his Medicare for All plan and support for the Green New Deal, among other key issues.
Other age groups polled are more optimistic in Biden's ability to unite the party by November. More than 70 percent of Democratic voters ages 50 and older believed the party would support Biden, while 58 percent of those between the ages of 30 and 49 said they shared that view.
The poll also showed that 47 percent of registered voters said they would vote for Biden if the election were to be held now, while 45 percent said they would support President Donald Trump. Despite their reported uncertainty about Biden, more young voters said they still supported him over Trump. Although 16 percent of voters under 30 said they supported neither candidate, Pew's poll showed, Biden pulled 53 percent of those voters, compared with the 30 percent of them who said they support Trump.
In addition to garnering endorsements from Sanders and Warren, Biden also earned an official endorsement from former President Barack Obama last week. Obama remains popular among Democratic voters and could be key in attracting the support of young voters for Biden in the months to come.
""Choosing Joe to be my vice president was one of the best decisions I ever made, and he became a close friend,"" Obama said in his endorsement. ""I believe Joe has all the qualities we need in a president right now.""",politicsNews,4/20/2020,Newsweek
ELIZABETH WARREN ENDORSES JOE BIDEN FOR PRESIDENT,"Elizabeth Warren has officially endorsed former Vice President Joe Biden.
The Massachusetts senator made the announcement in a Twitter video released Wednesday morning. Her endorsement comes one day after former President Barack Obama threw his support behind his former vice president.
""Joe Biden has spent nearly his entire life in public service. He knows that a government run with empathy, competence and heart will save lives and livelihoods. And we can't afford to let Donald Trump continue to endanger the lives and livelihoods of every American. That's why I'm proud to endorse Joe Biden as president of the United States,"" Warren said in the clip.
Warren's endorsement could be key in helping Biden court younger, more progressive voters. Her policies, such as single-payer health care and canceling student debt, placed her to the left of most other Democratic primary candidates. Most millennial and Generation Z voters in the Democratic primary race supported either her or Vermont Senator Bernie Sanders.
Biden touted Warren's announcement on Twitter, writing: ""We are in a battle for the soul of this nation and I'm proud to have the fiercest of fighters, Senator@EWarren, on my side. With her help, we're going to beat Donald Trump and create a government that works for everyone—not just the wealthy and well-connected. Let's do this.""
Warren ended her presidential campaign in March after failing to win in most of the early voting states. After her exit, the Massachusetts senator said she would not immediately be endorsing a candidate.
""I think I would have made a better president than either one of them, that's why I was running,"" Warren said in an interview with The Boston Globe. ""I thought it was worth fighting for another approach.""
Biden has already made an effort to court Warren's devoted voter base since her departure from the primary race. The former vice president endorsed the senator's bankruptcy reform plan last month, putting an end to a years-long battle between the two lawmakers on the issue.
""I've endorsed Elizabeth Warren's bankruptcy proposal, which in fact goes further, allows for student debt to be relieved in bankruptcy, provides for a whole range of other issues that allows us to in fact impact on how people are dealing with their circumstances,"" Biden said. ""So there's a whole range of things we agree on.""
Warren has been floated as a possible pick for vice president after Biden pledged during the last Democratic debate to have a female running mate if selected as the party's nominee. Warren told The View that she was ""really was heartened to see the vice president say, 'It's time to have a woman at least somewhat close to the White House.'""
Warren is one of the last primary contenders to throw her support behind the former vice president.
Biden had quickly consolidated support from his former opponents and used it to his advantage. Endorsements from Senator Amy Klobuchar, former Indiana mayor Pete Buttigieg and former Representative Beto O'Rourke helped lead him to an electoral sweep on Super Tuesday. Other former candidates, such as Senator Kamala Harris and former New York City Mayor Michael Bloomberg, have also endorsed him.
Even Sanders, whose exit from the race in early April essentially handed Biden the nomination, was quick to endorse the former vice president.
""It's no secret out there, Joe, that you and I have our differences,"" Sanders said during a live stream address on Monday. ""But I hope that these task forces will come together, using the best minds and people in your campaign and my campaign to work out real solutions to these very, very important problems.""
Warren's endorsement echoed that of Sanders in her pledge for unity and working together not only to defeat Trump but to help ""rebuild and transform our country"" after he's out of office.
""Among all the other candidates I competed with in the Democratic primary, there's no one I've agreed with 100 percent of the time over the years. But one thing I appreciate about Joe Biden is he will always tell you where he stands,"" the senator said, adding that he's not ""too afraid or too proud to be persuaded.""
Update: This story has been updated to include Biden's reaction to Warren's endorsement.",politicsNews,4/15/2020,Newsweek
"BERNIE SANDERS ASKS SUPPORTERS TO DONATE TO DEMOCRATIC PARTY, 'SHOW COMMITMENT TO PARTY UNITY'","Senator Bernie Sanders sent his supporters an email Friday urging them donate to the Democratic National Committee (DNC).
Sanders endorsed former Vice President Joe Biden on Monday after dropping out of the race for president the previous week. The independent senator who twice sought the Democratic nomination asked supporters to donate to the DNC in the name of ""party unity.""
""My campaign for president may be over, but our struggle continues,"" the email says. ""That struggle begins with defeating Donald Trump, the most dangerous president in modern American history, but it does not end there.""
""I will also be doing everything in my power to elect strong progressives at every level of government,"" it continues. ""Make a $7 contribution to the Democratic Unity Fund today to show your commitment to party unity by helping elect Democrats nationwide.""
Former President Barack Obama, who endorsed Biden Tuesday, announced the creation of the Democratic Unity Fund in May 2019, saying it was intended to bring the party together behind the eventual Democratic nominee.
""I'm excited that the DNC asked me to announce a bold new effort: The Democratic Unity Fund,"" Obama said in an email at the time. ""The Democratic Unity Fund is a promise that whoever earns our nomination, he or she will have a strong, united, and well-organized DNC ready to spring into action the moment the general election starts.""
Despite the endorsement, a number of Sanders supporters have expressed resistance to the idea of supporting the former vice president in the upcoming election, insisting that too many of the policy positions offered by Sanders are absent in Biden's platform. Former Sanders campaign Press Secretary Briahna Joy Gray made it clear she was not endorsing Biden shortly after Sanders made his endorsement.
""With the utmost respect for Bernie Sanders, who is an incredible human being & a genuine inspiration, I don't endorse Joe Biden,"" Gray tweeted on Monday. ""I supported Bernie Sanders because he backed ideas like #MedicareForAll, cancelling ALL student debt, & a wealth tax. Biden supports none of those.""
Sanders noted that Gray was no longer ""on the payroll"" during a Tuesday interview with the Associated Press. He also urged his supporters to support his former rival regardless of any differences, insisting that defeating President Donald Trump is more important.
""I believe that it's irresponsible for anybody to say, 'Well, I disagree with Joe Biden—I disagree with Joe Biden!—and therefore I'm not going to be involved,'"" Sanders said during the interview.
Some supporters of Sanders have also been reluctant to get behind Biden due to an allegation that he sexually assaulted his former Senate aide Tara Reade in 1993. Biden and his campaign have denied the allegation, saying that the incident ""absolutely did not happen.""
Newsweek reached out to Sanders for comment but did not receive a response in time for publication.",politicsNews,4/17/2020,Newsweek
CORONAVIRUS RELIEF BILL INCLUDES TAX BENEFIT FOR MILLIONAIRES THAT WILL COST TAXPAYERS $90 BILLION,"Tucked away in the historic $2.2 trillion relief package passed by Congress last month is a tax change that overwhelmingly benefits millionaires.
More than 80 percent of the benefits from the new provision will go to Americans earning more than $1 million annually, according to a report released last week by the nonpartisan Joint Committee on Taxation. Less than 3 percent of the benefits from the change will go to people earning less than $100,000 a year.
The change is estimated to cost taxpayers about $90 billion in 2020 and will add roughly $170 billion to the federal deficit over the next decade, the congressional committee's report found.
""It's a scandal for Republicans to loot American taxpayers in the midst of an economic and human tragedy,"" Democratic Senator Sheldon Whitehouse of Rhode Island said in a statement after the report was released.
Thornton Matheson, a senior fellow at the nonpartisan Tax Policy Center, said the tax change was ""a very bad use of the money"" provided by the relief package. The measure is the second-largest tax cut in the legislation.
""I don't think that is a good measure in the sense that it's not focused on the people who are most severely affected by this crisis. Surely, the wealthy partnership owners will be affected but not to the extent of low-income households,"" Matheson told Newsweek. She added that the tax break is going to ""provide little stimulus to the economy.""
The Joint Committee on Taxation completed the report at the request of Whitehouse and Representative Lloyd Doggett. A Democrat from Texas, Doggett noted that the tax change is more than the new funding provided for hospitals and for state governments by the Coronavirus Aid, Relief and Economic Security (CARES) Act.
""Someone wrongly seized on this health emergency to reward ultrarich beneficiaries, likely including the Trump family, with a tax loophole not available to middle-class families,"" Doggett said in a statement. ""This net operating loss loophole is a loser that should be repealed.""
The tax break is a reversal of restrictions imposed by GOP lawmakers in the 2017 tax law. The change will suspend a limitation on how much certain business owners can deduct against their nonbusiness income. Now, business owners can lower their taxes by deducting as much as they want against income unrelated to the company.
The Joint Committee on Taxation estimated that 43,000 people making more than $1 million would owe roughly $70 billion less in taxes this year because of the suspension.
As Democrats criticize the tax change for being too broad and for benefiting high earners, Republicans have highlighted the fact that these lawmakers still supported the CARES Act. All Senate Democrats voted for the legislation, which was passed by unanimous consent on March 27.
Republican Chuck Grassley, chairman of the Senate Finance Committee, wrote in an op-ed for Fox News that Democrats are simply trying to score ""political points"" by condemning the tax change.
""This partisan attack threatens the relief intended for businesses in every industry across America. The attempt to paint this tax provision as a boon for real estate and hedge fund investors completely misses the mark,"" Grassley wrote. ""Notably, the CARES Act did not change the longstanding limits on investors being able to benefit from passive investment losses.""",politicsNews,4/20/2020,Newsweek
MICHIGAN GOVERNOR WHITMER SAYS STAY AT HOME ORDER 'ABSOLUTELY NECESSARY' AS STATE FACES 'DISPROPORTIONATE THREAT',"Michigan Governor Gretchen Whitmer defended her stay at home order amid criticism on Sunday, telling a local TV station that it was ""absolutely necessary"" given the ""disproportionate threat"" of COVID-19 infections in the state.
Speaking to WXYZ 7 Action News in Detroit, Whitmer said Michigan faced a ""unique problem"" being the tenth largest state in the country while having the third highest number of confirmed coronavirus deaths.
The Democratic governor also said she wanted to avoid having to issue a second stay at home order ""at all costs"" once the first order is lifted.
Appearing on 7 Action News, Gov. Whitmer said: ""I think the order was absolutely necessary... having the third most deaths in the country when we are the tenth largest state shows we've got a unique problem in Michigan.
""We have to have unique solutions, and they've got to be driven by the best science and what's in the best interest of the health of the people. It won't do any good if we don't take this seriously and just jump right back into life as it was and have another stay at home order later in the year.""
Whitmer added that she was trying to avoid that outcome ""at all costs,"" and said there was ""no one"" more interested in getting the economy back up-and-running than her.
""But the fact of the matter is, it's really critical that we do it in a smart way so that it's safe for the workers and the customers alike,"" she added.
Asked for her reaction to President Donald Trump's criticism of some of her social distancing measures, Gov. Whitmer said: ""It's fine. I think part of the issue that we're confronting as a state though is that we have a unique challenge.""
After noting the number of cases in the state, she added: ""We have a disproportionate threat here in Michigan, and it calls for stronger policies than any other state in the nation because we've got a tougher problem to solve.""
Whitmer went on to recognize that sacrifices being made were ""tough"" for both individuals and small businesses amid the pandemic.
""I also know that if we don't take these aggressive actions, COVID-19 threatens our whole healthcare system,"" the governor said. ""It threatens to take away more lives. It makes it harder for us to rebound from this economically.""
Gov. Whitmer's stay at home order has faced backlash from some local residents who feel its restrictions go too far.",politicsNews,4/20/2020,Newsweek
DONALD TRUMP SAYS HE IS UNAWARE OF SEN. KELLY LOEFFLER'S STOCK TRADES AFTER ECONOMIC TASK FORCE APPOINTMENT,"President Donald Trump told reporters on Sunday that he was not aware of controversy around Sen. Kelly Loeffler's (R-GA) stock trades before the coronavirus pandemic hit markets.
The commander-in-chief said he didn't know about the congresswoman's stock sales after the decision to include her on an economic task force was questioned at his latest coronavirus briefing.
President Trump created a bipartisan panel tasked with planning the reopening of the U.S. economy last week as part of his efforts to curb the economic damage caused by pandemic-related shutdowns.
The White House released a statement on Thursday naming the 65 senators and 32 representatives on the ""Opening Up America Again"" congressional group.
""Based on the latest data, our team of experts now agrees that we can begin the next front in our war, which we're calling, 'Opening Up America Again,'"" President Trump said at the time. ""And that's what we're doing: We're opening up our country. And we have to do that. America wants to be open, and Americans want to be open.""
A reporter asked President Trump on Sunday why he included Sen. Kelly Loeffler on the task force in light of her stock sales just weeks before markets were rocked by the COVID-19 pandemic.
""That I don't know. I really don't know about that,"" Trump said. ""She's a senator from Georgia and she was included in the list, absolutely.""
The Daily Beast reported last month that Sen. Loeffler sold off thousands of dollars worth of stock after a private congressional briefing on the coronavirus in January. The price of shares in some of those firms would later decline as a result of the COVID-19 outbreak.
Earlier this month, the Atlanta-Journal Constitution also noted that the congresswoman sold further stocks over February and March, according to financial disclosure data.
Sen. Loeffler has repeatedly denied any wrongdoing, and told Tucker Carlson last month that her stock portfolio managers handled trades before telling her anything.",politicsNews,4/20/2020,Newsweek
"TEENAGER WHO SHARED CORONAVIRUS INFECTION ON INSTAGRAM THREATENED WITH ARREST BY POLICE, LAWSUIT SAYS","A lawsuit filed Thursday said a patrol sergeant following a sheriff's orders violated a Wisconsin teenager's First and Fourteenth Amendment rights by telling her to remove an Instagram post, in which she said she was suffering from COVID-19 symptoms.
The patrol sergeant said he would ""start taking people to jail"" if the post was not deleted, according to the complaint.
Wisconsin Institute for Law & Liberty (WILL) filed the lawsuit with the United States District Court for the Eastern District of Wisconsin on behalf of the teenager, identified in the complaint as a student at Westfield Area High School in Marquette County. Patrol Sergeant Cameron Klump and Sheriff Joseph Konrath of the Marquette County Sheriff's Department were both listed as defendants.
""The First Amendment's protection of speech, especially online speech, is as vital as ever during the ongoing COVID-19 pandemic,"" the complaint said. ""This case is about preserving the right to share our experiences with each other during this difficult time.""
The law firm said the teenager began experiencing respiratory symptoms common among COVID-19 patients after a trip to Florida with her classmates in March. The teenager and her classmates returned home as the coronavirus pandemic began forcing states across the country to shut down. The complaint said she then developed a fever and cough within five days of arriving back home on March 15.
The teenager's parents tried to contact their daughter's teacher to alert other students of her possible COVID-19 symptoms, but their attempts were unsuccessful, the complaint said. In the days that followed, she was briefly hospitalized for her symptoms but ultimately tested negative for the virus, the law firm said.
Doctors told the teenager and her parents that ""in their opinion"" she ""likely had COVID-19, but had missed the window for testing positive,"" WILL wrote in an April 3 letter to Konrath. The letter went on to say that the family ""believed and still believe the doctors' diagnosis.""
The teenager returned home after receiving her negative results and posted an update on Instagram that read, ""I am finally home after being hospitalized for a day and a half. I am still om [sic] breathing treatment but have beaten the corona virus [sic]. Stay home and be safe.""
According to the complaint, Klump arrived at the family's home on March 27 and told the teenager's parents Konrath had received a complaint from her school about the post. Klump said he had direct orders from Konrath to ""demand"" that she ""delete this post,"" and if she did not, to cite the teen and/or her parents for ""disorderly conduct,"" the complaint said.
Klump said Konrath wanted the post deleted because no cases of COVID-19 had been confirmed in the county at that time, the complaint said. Marquette County confirmed its first COVID-19 cases three days later.
Deputy Counsel Luke Berg, who represents the family, told Newsweek the firm was pursuing a records request with the school to determine who had filed the alleged complaint with the sheriff's department.
""It struck me as a flagrant First Amendment violation,"" he said of the incident. ""The thought that law enforcement would be patrolling social media is terrifying, quite frankly.""
Konrath did not respond to Newsweek's request for comment by publication time.",politicsNews,4/17/2020,Newsweek
